scenario_id,scenario_name,edge_id,congestion_level,time_multiplier,rain_risk,fog_risk,construction_penalty,closed
S0,weekday_normal,E001,1,1.0,0,0,0,False
S0,weekday_normal,E002,1,1.052,1,0,0,False
S0,weekday_normal,E003,1,1.016,0,0,0,False
S0,weekday_normal,E004,1,1.066,1,0,0,False
S0,weekday_normal,E005,1,1.0,0,0,0,False
S0,weekday_normal,E006,1,1.018,0,0,0,False
S0,weekday_normal,E007,1,1.0,0,0,0,False
S0,weekday_normal,E008,2,1.059,0,0,0,False
S0,weekday_normal,E009,1,1.028,1,0,0,False
S0,weekday_normal,E010,2,1.142,1,0,0,False
S0,weekday_normal,E011,1,1.0,0,0,0,False
S0,weekday_normal,E012,1,1.039,1,0,0,False
S0,weekday_normal,E013,2,1.12,1,0,0,False
S0,weekday_normal,E014,3,1.159,0,0,0,False
S0,weekday_normal,E015,2,1.214,1,0,2,False
S0,weekday_normal,E016,1,1.007,1,0,0,False
S0,weekday_normal,E017,1,1.0,0,0,0,False
S0,weekday_normal,E018,1,1.062,1,0,0,False
S0,weekday_normal,E019,1,1.0,0,0,0,False
S0,weekday_normal,E020,3,1.159,0,0,0,False
S0,weekday_normal,E021,1,1.0,0,0,0,False
S0,weekday_normal,E022,2,1.115,1,0,0,False
S0,weekday_normal,E023,1,1.04,0,0,0,False
S0,weekday_normal,E024,1,1.073,1,0,0,False
S0,weekday_normal,E025,1,1.065,1,0,0,False
S0,weekday_normal,E026,1,1.061,1,0,0,False
S0,weekday_normal,E027,1,1.069,1,0,0,False
S0,weekday_normal,E028,1,1.027,1,0,0,False
S0,weekday_normal,E029,1,1.0,0,0,0,False
S0,weekday_normal,E030,2,1.054,0,0,0,False
S0,weekday_normal,E031,1,1.0,0,0,0,False
S0,weekday_normal,E032,1,1.066,1,0,0,False
S0,weekday_normal,E033,1,1.042,0,0,0,False
S0,weekday_normal,E034,2,1.087,1,0,0,False
S0,weekday_normal,E035,1,1.028,1,0,0,False
S0,weekday_normal,E036,2,1.098,1,0,0,False
S0,weekday_normal,E037,2,1.099,1,0,0,False
S0,weekday_normal,E038,1,1.047,1,0,0,False
S0,weekday_normal,E039,2,1.098,0,0,0,False
S0,weekday_normal,E040,1,1.0,0,0,0,False
S0,weekday_normal,E041,1,1.0,0,0,0,False
S0,weekday_normal,E042,2,1.08,1,0,0,False
S0,weekday_normal,E043,2,1.115,1,0,0,False
S0,weekday_normal,E044,2,1.048,0,0,0,False
S0,weekday_normal,E045,2,1.128,1,0,0,False
S0,weekday_normal,E046,1,1.024,0,0,0,False
S0,weekday_normal,E047,2,1.096,1,0,0,False
S0,weekday_normal,E048,1,1.046,1,0,0,False
S0,weekday_normal,E049,1,1.014,1,0,0,False
S0,weekday_normal,E050,1,1.017,1,0,0,False
S0,weekday_normal,E051,2,1.097,0,0,0,False
